council,scraped_name,gss_name
West Northamptonshire,Hackleton & Roade (2 member),Hackleton and Grange Park
West Northamptonshire,"Far Cotton, Delapre & Briar Hill (3 member)",Delapre and Rushmere
West Northamptonshire,Hunsbury (3 member),Sixfields
West Northamptonshire,Upton (2 member),St. George
North Northamptonshire,Barton Seagrave & Burton Latimer,Burton and Broughton
North Northamptonshire,Geddington & Stanion,Corby Rural
North Northamptonshire,Avondale Grange,Wicksteed
North Northamptonshire,St Michael,Northall
North Northamptonshire,St Peter,Windmill
Northumberland,Newbiggin-by-the-Sea,Newbiggin Central and East
Northumberland,Seaton with Spital,Seaton with Newbiggin West
Northumberland,Hexham North,Hexham Central with Acomb
Shropshire,Bridgnorth South and Alveley,Alveley and Claverley
Shropshire,Bicton Heath,Bowbrook
County Durham,Derwent and Pont Valley,Burnopfield and Dipton
County Durham,Thornley and Wheatley Hill,Trimdon and Thornley
County Durham,Langley and Esh,Sacriston
County Durham,Lower Teesdale,Barnard Castle East
County Durham,Upper Teesdale,Bishop Middleham and Cornforth
Highland,Eilean a' Cheò,Eilean á Chèo
North Norfolk,St Benet,St Benet's
North Norfolk,North Waltham East,North Walsham East
North Norfolk,North Waltham West,North Walsham West
